CityID,City,State,citystate,dist_to_indy
4001,Abilene,TX,"Abilene, TX",1656848.0
4002,Akron,OH,"Akron, OH",480640.0
4003,Albany,NY,"Albany, NY",1260049.0
4004,Albuquerque,NM,"Albuquerque, NM",2063595.0
4005,Allentown,PA,"Allentown, PA",1001132.0
4006,Ames,IA,"Ames, IA",784826.0
4007,Amherst,MA,"Amherst, MA",1414771.0
4008,Anaheim,CA,"Anaheim, CA",3315221.0
4009,Anchorage,AK,"Anchorage, AK",6048645.0
4010,Ann Arbor,MI,"Ann Arbor, MI",428289.0
4011,Annapolis,MD,"Annapolis, MD",990858.0
4012,Arlington,TX,"Arlington, TX",1479404.0
4013,Asheville,NC,"Asheville, NC",757309.0
4014,Athens,GA,"Athens, GA",971038.0
4015,Athens,OH,"Athens, OH",400000
4016,Atlanta,GA,"Atlanta, GA",860038.0
4017,Atlantic City,NJ,"Atlantic City, NJ",1132919.0
4018,Auburn,AL,"Auburn, AL",950607.0
4019,Auburn Hills,MI,"Auburn Hills, MI",512549.0
4020,Austin,TX,"Austin, TX",1760426.0
4021,Bakersfield,CA,"Bakersfield, CA",3351215.0
4022,Baltimore,MD,"Baltimore, MD",956347.0
4023,Bangor,ME,"Bangor, ME",1871223.0
4024,Baton Rouge,LA,"Baton Rouge, LA",1361885.0
4025,Bayamon,PR,"Bayamon, PR",1000000
4026,Beaumont,TX,"Beaumont, TX",1655584.0
4027,Berkeley,CA,"Berkeley, CA",3633821.0
4028,Bethlehem,PA,"Bethlehem, PA",1010000
4029,Billings,MT,"Billings, MT",2264885.0
4030,Birmingham,AL,"Birmingham, AL",771128.0
4031,Blacksburg,VA,"Blacksburg, VA",722695.0
4032,Bloomington,IN,"Bloomington, IN",89069.0
4033,Boca Raton,FL,"Boca Raton, FL",1860016.0
4034,Boiling Springs,NC,"Boiling Springs, NC",838675.0
4035,Boise,ID,"Boise, ID",2950777.0
4036,Boone,NC,"Boone, NC",739395.0
4037,Borinquen,PR,"Borinquen, PR",1912911.0
4038,Bossier City,LA,"Bossier City, LA",1278132.0
4039,Boston,MA,"Boston, MA",1505797.0
