ID,Pred
2021_1101_1104,0.12172494807807405
2021_1101_1111,0.851827659550427
2021_1101_1116,0.11705809271093691
2021_1101_1124,0.05
2021_1101_1140,0.20838931055331705
2021_1101_1155,0.18473668467477997
2021_1101_1156,0.64
2021_1101_1159,0.3050031597418474
2021_1101_1160,0.33457522180403143
2021_1101_1163,0.33074728609014953
2021_1101_1166,0.12111176732098412
2021_1101_1179,0.22140453173713595
2021_1101_1180,0.6994333961178967
2021_1101_1186,0.64
2021_1101_1196,0.2439091606709804
2021_1101_1199,0.2638585384298152
2021_1101_1207,0.20327235194761525
2021_1101_1210,0.21534909460196217
2021_1101_1211,0.05
2021_1101_1213,0.64
2021_1101_1216,0.7923404585917788
2021_1101_1222,0.05
2021_1101_1228,0.05
2021_1101_1233,0.7199234860288066
2021_1101_1234,0.06912663022054066
2021_1101_1242,0.08713806291310484
2021_1101_1251,0.36
2021_1101_1260,0.19542190696814177
2021_1101_1261,0.187174275697827
2021_1101_1268,0.36
2021_1101_1276,0.14122812607297622
2021_1101_1277,0.1874641725591859
2021_1101_1281,0.21475254785659004
2021_1101_1287,0.64
2021_1101_1291,0.8430491157682167
2021_1101_1313,0.7947098666788871
2021_1101_1314,0.2965125459785698
2021_1101_1317,0.2848474898895313
2021_1101_1325,0.24261507886132014
2021_1101_1326,0.12479718017959149
2021_1101_1328,0.28279202116483654
2021_1101_1329,0.1961744211947778
2021_1101_1331,0.6458361953202898
2021_1101_1332,0.19977513732607693
2021_1101_1333,0.22712246914336456
2021_1101_1345,0.18254085243647028
2021_1101_1353,0.22417435047969445
2021_1101_1361,0.2394246263908516
2021_1101_1364,0.25393773452476875
2021_1101_1382,0.178618929207274
2021_1101_1393,0.28222109063935197
2021_1101_1397,0.25356059103599715
2021_1101_1400,0.18227293504413142
2021_1101_1403,0.64
2021_1101_1411,0.8356964315094348
2021_1101_1417,0.21254790774258656
2021_1101_1422,0.36
2021_1101_1425,0.20596495811786322
2021_1101_1429,0.3246876619155492
2021_1101_1433,0.18330964918662604
2021_1101_1437,0.13809261869257994
2021_1101_1438,0.12139708329478686
2021_1101_1439,0.244956300757966
2021_1101_1452,0.30381310208322093
2021_1101_1455,0.3005478054768315
2021_1101_1457,0.36
2021_1101_1458,0.23325314698579377
2021_1104_1111,0.95
2021_1104_1116,0.36
2021_1104_1124,0.24230423978728002
2021_1104_1140,0.36
2021_1104_1155,0.6997046269531978
2021_1104_1156,0.95
2021_1104_1159,0.8986045618254926
2021_1104_1160,0.670182015206692
2021_1104_1163,0.7384637022111262
2021_1104_1166,0.6868664875338235
