ID,Pred
2021_1101_1104,0.2547144658626651
2021_1101_1111,0.8697953323671916
2021_1101_1116,0.3282018780257454
2021_1101_1124,0.22855053069268724
2021_1101_1140,0.05885327218253924
2021_1101_1155,0.36
2021_1101_1156,0.36
2021_1101_1159,0.3379744036575503
2021_1101_1160,0.1755012549115516
2021_1101_1163,0.7899158806259676
2021_1101_1166,0.36
2021_1101_1179,0.36
2021_1101_1180,0.8195175809572601
2021_1101_1186,0.7177207625285718
2021_1101_1196,0.64
2021_1101_1199,0.64
2021_1101_1207,0.64
2021_1101_1210,0.64
2021_1101_1211,0.05
2021_1101_1213,0.6921247738493057
2021_1101_1216,0.8442965714364382
2021_1101_1222,0.2494751490157323
2021_1101_1228,0.14323169100196542
2021_1101_1233,0.7205204864055101
2021_1101_1234,0.64
2021_1101_1242,0.2570800059517889
2021_1101_1251,0.36
2021_1101_1260,0.36
2021_1101_1261,0.36
2021_1101_1268,0.7060498920584842
2021_1101_1276,0.15297873397322112
2021_1101_1277,0.36
2021_1101_1281,0.36
2021_1101_1287,0.36
2021_1101_1291,0.8682651798261314
2021_1101_1313,0.8292888064374061
2021_1101_1314,0.64
2021_1101_1317,0.8417253268729065
2021_1101_1325,0.64
2021_1101_1326,0.29614491152697986
2021_1101_1328,0.7326730357271032
2021_1101_1329,0.64
2021_1101_1331,0.6678594384861144
2021_1101_1332,0.09090472229885567
2021_1101_1333,0.16448564328500004
2021_1101_1345,0.36
2021_1101_1353,0.64
2021_1101_1361,0.06123025719950871
2021_1101_1364,0.30342651374004065
2021_1101_1382,0.36
2021_1101_1393,0.64
2021_1101_1397,0.64
2021_1101_1400,0.08217343611346539
2021_1101_1403,0.16915386125316623
2021_1101_1411,0.8459939973909371
2021_1101_1417,0.08577959390197826
2021_1101_1422,0.64
2021_1101_1425,0.05
2021_1101_1429,0.6689920646406079
2021_1101_1433,0.64
2021_1101_1437,0.36
2021_1101_1438,0.36
2021_1101_1439,0.36
2021_1101_1452,0.774393645619612
2021_1101_1455,0.36
2021_1101_1457,0.36
2021_1101_1458,0.6450825691443772
2021_1104_1111,0.95
2021_1104_1116,0.64
2021_1104_1124,0.2750261428481681
2021_1104_1140,0.6664465895461192
2021_1104_1155,0.7003267853360514
2021_1104_1156,0.6539065129071291
2021_1104_1159,0.9304705080654191
2021_1104_1160,0.6975481923842921
2021_1104_1163,0.7693598614208469
2021_1104_1166,0.7302221040782932
2021_1104_1179,0.36
2021_1104_1180,0.95
2021_1104_1186,0.95
2021_1104_1196,0.845353952540233
2021_1104_1199,0.7285980517543258
2021_1104_1207,0.8579241829513413
2021_1104_1210,0.7979071995270498
2021_1104_1211,0.36
2021_1104_1213,0.95
2021_1104_1216,0.95
2021_1104_1222,0.64
2021_1104_1228,0.36
2021_1104_1233,0.95
2021_1104_1234,0.64
2021_1104_1242,0.64
2021_1104_1251,0.95
2021_1104_1260,0.64
2021_1104_1261,0.7752581942706188
2021_1104_1268,0.7825795916379611
2021_1104_1276,0.64
2021_1104_1277,0.7621271731743099
2021_1104_1281,0.7198140071560468
2021_1104_1287,0.6908701030524234
2021_1104_1291,0.95
2021_1104_1313,0.95
2021_1104_1314,0.8219232758117033
2021_1104_1317,0.8732253877942634
2021_1104_1325,0.851318704158309
2021_1104_1326,0.7441709099315384
2021_1104_1328,0.8621622110419495
2021_1104_1329,0.663077128373164
2021_1104_1331,0.95
2021_1104_1332,0.7089863134083321
2021_1104_1333,0.6682986544789654
2021_1104_1345,0.6786434785869989
2021_1104_1353,0.36
2021_1104_1361,0.8165278538463324
2021_1104_1364,0.95
2021_1104_1382,0.6909700928354586
2021_1104_1393,0.8255054116801275
2021_1104_1397,0.8251008157228702
2021_1104_1400,0.7092405317350744
2021_1104_1403,0.8200786256486385
2021_1104_1411,0.95
2021_1104_1417,0.8068889811623581
2021_1104_1422,0.95
2021_1104_1425,0.7360311591573843
2021_1104_1429,0.95
2021_1104_1433,0.7829535778443114
2021_1104_1437,0.6738665929987355
2021_1104_1438,0.36
2021_1104_1439,0.7392802773420226
2021_1104_1452,0.8558322727002531
2021_1104_1455,0.8296100944336285
2021_1104_1457,0.95
2021_1104_1458,0.7553115852960445
2021_1111_1116,0.11867500235172239
2021_1111_1124,0.11001088287833018
2021_1111_1140,0.1167297188830247
2021_1111_1155,0.120938413039428
2021_1111_1156,0.1842078069545568
2021_1111_1159,0.2823298430954327
2021_1111_1160,0.11810821472248516
2021_1111_1163,0.11941436396492087
2021_1111_1166,0.11402770359650483
2021_1111_1179,0.05
2021_1111_1180,0.36
2021_1111_1186,0.36
2021_1111_1196,0.12649332979573463
2021_1111_1199,0.1177358100140103
2021_1111_1207,0.1565178349841552
2021_1111_1210,0.1308356030659472
2021_1111_1211,0.11001088287833018
2021_1111_1213,0.36
2021_1111_1216,0.36
2021_1111_1222,0.11001088287833018
2021_1111_1228,0.12830041205091117
2021_1111_1233,0.64
2021_1111_1234,0.1429280587557973
2021_1111_1242,0.15818046017593185
2021_1111_1251,0.3400756918545793
2021_1111_1260,0.12460549988754285
2021_1111_1261,0.12806314775506591
2021_1111_1268,0.12718655189345868
2021_1111_1276,0.12073463740891396
2021_1111_1277,0.28454380707841737
2021_1111_1281,0.16355355933711585
2021_1111_1287,0.1894907025135321
2021_1111_1291,0.6492889861239816
2021_1111_1313,0.64
2021_1111_1314,0.2927872984206388
2021_1111_1317,0.23125299880856426
2021_1111_1325,0.24682217837826612
2021_1111_1326,0.12073463740891396
2021_1111_1328,0.1299129161052808
2021_1111_1329,0.13402393332599258
2021_1111_1331,0.64
2021_1111_1332,0.13439926173625394
2021_1111_1333,0.05
2021_1111_1345,0.15540483466613123
2021_1111_1353,0.12172921323331898
2021_1111_1361,0.12394205185379757
2021_1111_1364,0.2906685959920147
2021_1111_1382,0.12879350456605354
2021_1111_1393,0.12741092374405594
